t,x,y,yaw_deg,v,nearest_idx,target_idx,target_x,target_y,delta_deg,delta_rad
9.6,46.62201,20.77532,-46.40065,8.0,145,154,51.4436,14.16813,-5.3911093,-0.0940926
9.65,46.89785,20.48565,-47.14646,8.0,146,155,51.87981,13.322,-5.7878634,-0.1010173
9.7,47.1699,20.19241,-47.94751,8.0,146,155,51.87981,13.322,-5.4916894,-0.0958481
9.75,47.43783,19.8954,-48.70731,8.0,147,156,52.28896,12.46245,-5.8768355,-0.1025701
9.8,47.70179,19.59486,-49.52076,8.0,147,156,52.28896,12.46245,-5.5713276,-0.097238
9.85,47.96146,19.2906,-50.29165,8.0,147,156,52.28896,12.46245,-5.2939282,-0.0923965
9.9,48.21701,18.98288,-51.02394,8.0,148,157,52.67063,11.59035,-5.6971602,-0.0994342
9.95,48.46861,18.67192,-51.81235,8.0,148,157,52.67063,11.59035,-5.4086092,-0.094398
10.0,48.7159,18.35752,-52.56059,8.0,149,158,53.02444,10.70659,-5.7999674,-0.1012285
10.05,48.95907,18.03992,-53.36333,8.0,149,158,53.02444,10.70659,-5.5013938,-0.0960174
10.1,49.19777,17.71895,-54.12448,8.0,150,159,53.35002,9.81204,-5.8821757,-0.1026633
10.15,49.43218,17.39483,-54.93868,8.0,150,159,53.35002,9.81204,-5.5746399,-0.0972958
10.2,49.66196,17.06742,-55.71003,8.0,150,159,53.35002,9.81204,-5.2952435,-0.0924194
10.25,49.88731,16.73694,-56.4425,8.0,151,160,53.64707,8.90761,-5.695213,-0.0994002
10.3,50.10842,16.40361,-57.23064,8.0,151,160,53.64707,8.90761,-5.4049525,-0.0943342
10.35,50.32492,16.06726,-57.97837,8.0,152,161,53.91526,7.99421,-5.7939327,-0.1011232
10.4,50.53702,15.72812,-58.78027,8.0,152,161,53.91526,7.99421,-5.4938934,-0.0958865
10.45,50.74435,15.38605,-59.54038,8.0,153,162,54.15435,7.07277,-5.8730876,-0.1025047
10.5,50.94712,15.04125,-60.35331,8.0,153,162,54.15435,7.07277,-5.5642884,-0.0971152
10.55,51.14498,14.69362,-61.12322,8.0,153,162,54.15435,7.07277,-5.2835987,-0.0922162
10.6,51.33815,14.34335,-61.85406,8.0,154,163,54.36407,6.1442,-5.6829096,-0.0991855
10.65,51.52684,13.99065,-62.64049,8.0,154,163,54.36407,6.1442,-5.3914942,-0.0940993
10.7,51.71067,13.6354,-63.38635,8.0,155,164,54.54423,5.20945,-5.7804109,-0.1008872
